WP,AVG,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HPB,SO,GDP,SLG,OBP,OPS,SB,CS,ERA,SV,HLD,IP,H/p,HR/p,BB/p,HBP,SO/p,R,ER,WHIP,E,PO,Ass,DP,FPCT,PB,SB/f,CS/f,CS%
0.488,0.272,5254,4499,655,1223,196,9,138,1851,626,105,35,521,24,93,818,98,0.411,0.357,0.768,50,47,4.4,29,49,1186.1,1173,116,538,110,891,644,580,1.44,83,3559,1469,147,0.984,12,90,60,40
0.457,0.259,5081,4432,588,1150,176,24,102,1680,554,73,40,441,18,95,892,89,0.379,0.337,0.716,69,48,4.38,35,64,1164.1,1235,116,543,64,783,637,566,1.53,104,3493,1361,142,0.979,16,64,51,44.3
0.417,0.268,5150,4519,632,1213,245,17,140,1912,605,88,33,456,14,54,923,107,0.423,0.34,0.763,82,58,5.24,37,36,1180.2,1290,170,455,92,699,750,688,1.48,95,3542,1397,115,0.981,11,96,40,29.4
0.41,0.252,5075,4462,533,1125,195,21,88,1626,500,74,31,416,15,92,853,99,0.364,0.327,0.691,129,46,4.22,29,46,1190.1,1216,109,449,76,753,608,558,1.4,87,3571,1520,134,0.983,9,89,45,33.6
0.611,0.286,5313,4483,723,1280,208,15,175,2043,673,139,38,543,23,109,727,100,0.456,0.373,0.829,75,48,4.16,39,43,1190,1245,120,457,62,840,627,550,1.43,112,3570,1448,131,0.978,9,120,73,37.8
0.609,0.272,5127,4448,657,1211,219,16,129,1849,626,94,37,505,18,42,721,72,0.416,0.349,0.765,146,67,3.65,36,34,1178,1092,137,414,101,820,527,478,1.28,70,3534,1493,123,0.986,7,48,52,52
0.589,0.284,5241,4564,769,1295,236,14,213,2198,744,73,38,481,19,85,661,131,0.482,0.36,0.842,56,32,4.37,30,41,1183,1199,133,494,59,808,613,574,1.43,75,3549,1379,118,0.985,9,81,54,40
0.508,0.272,5157,4445,644,1208,209,16,156,1917,612,127,32,464,10,89,763,87,0.431,0.35,0.781,82,57,4.44,43,48,1181.1,1190,135,497,83,759,642,583,1.43,90,3544,1560,118,0.983,14,101,67,39.9
0.492,0.254,5198,4458,577,1131,218,20,121,1752,521,102,21,542,22,75,887,89,0.393,0.343,0.736,78,57,4.38,35,31,1192,1184,142,437,68,772,617,580,1.36,75,3576,1324,97,0.985,7,110,37,25.2
0.458,0.249,4964,4375,509,1088,188,29,106,1652,485,74,40,404,11,70,781,90,0.378,0.319,0.697,135,62,4.01,37,51,1169.2,1201,120,531,60,794,579,521,1.48,98,3509,1308,116,0.98,6,47,52,52.5
0.435,0.276,5165,4536,563,1251,205,21,90,1768,541,63,52,452,17,62,706,121,0.39,0.346,0.736,58,36,4.25,30,53,1175.2,1194,105,464,79,654,619,555,1.41,90,3527,1403,135,0.982,10,108,39,26.5
0.3,0.256,4987,4465,491,1143,232,18,73,1630,451,83,28,338,11,73,848,75,0.365,0.317,0.682,84,66,5.01,22,58,1164.1,1302,171,435,93,647,709,648,1.49,104,3493,1547,147,0.98,14,78,51,39.5
